2024-10-09 17:32:41,727 p=15348 u=kirill n=ansible | TASK [workstations : install terraform] ************************************************************************************************************************************
2024-10-09 17:33:06,368 p=15348 u=kirill n=ansible | ok: [localhost]
2024-10-09 17:33:06,398 p=15348 u=kirill n=ansible | PLAY RECAP *****************************************************************************************************************************************************************
2024-10-09 17:33:06,398 p=15348 u=kirill n=ansible | localhost                  : ok=5    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:33:06,398 p=15348 u=kirill n=ansible | server-1.sber.ru           : ok=2    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:33:06,398 p=15348 u=kirill n=ansible | server-2.sber.ru           : ok=9    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2024-10-09 17:33:59,246 p=16305 u=kirill n=ansible | PLAY [all] *****************************************************************************************************************************************************************
2024-10-09 17:33:59,255 p=16305 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:34:00,924 p=16305 u=kirill n=ansible | ok: [susan@localhost]
2024-10-09 17:34:01,608 p=16305 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:34:01,625 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:01,635 p=16305 u=kirill n=ansible | TASK [update cache] ********************************************************************************************************************************************************
2024-10-09 17:34:04,659 p=16305 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:34:04,775 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:14,223 p=16305 u=kirill n=ansible | ok: [susan@localhost]
2024-10-09 17:34:14,288 p=16305 u=kirill n=ansible | PLAY [server_2] ************************************************************************************************************************************************************
2024-10-09 17:34:14,293 p=16305 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:34:15,637 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
